original,normalized,count
Kullback-Leibler divergence,KULLBACK LEIBLER DIVERGENCE,1
Kurtosis,KURTOSIS,1
L'AMBRE,L AMBRE,1
L-Acc,L ACC,1
L-Eval,L EVAL,1
L-Wilder,L WILDER,1
L.C. WinRate,L C WINRATE,1
L1 distance,L1 DISTANCE,1
L1 error,L1 ERROR,1
L1-Score,L1,1
L2 Distance,L2 DISTANCE,1
L2 Loss,L2 LOSS,1
L2 Norm,L2 NORM,1
L2 distance,L2 DISTANCE,1
L2 error,L2 ERROR,1
L2-Score,L2,1
LA,LA,1
LAMBADA accuracy,LAMBADA ACCURACY,1
LASER Similarity,LASER SIMILARITY,1
LASIM,LASIM,1
LC,LC,1
LCS Overlap,LCS OVERLAP,1
LCS Ratio,LCS RATIO,1
LCS-F1,LCS F1,1
LCTR,LCTR,1
LDA Topic Modeling,LDA TOPIC MODELING,1
LDR,LDR,1
LED,LED,1
LER,LER,1
LERC,LERC,1
LEV,LEV,1
LF,LF,1
LF-EVAL,LF EVAL,1
LITRANSPROQA,LITRANSPROQA,1
LIWC analysis,LIWC ANALYSIS,1
LIWC feature analysis,LIWC FEATURE ANALYSIS,1
LIWC-22,LIWC,1
LIWC-based features,LIWC BASED FEATURES,1
LL-KL-Div,LL KL DIV,1
LL-Pred-Depth,LL PRED DEPTH,1
LL-Surprisal,LL SURPRISAL,1
LLAMA,LLAMA,1
LLEM,LLEM,1
LLM Accuracy,LLM ACCURACY,1
LLM Evaluation,LLM EVALUATION,1
LLM Score,LLM,1
LLM judge score,LLM JUDGE,1
LLM similarity scoring,LLM SIMILARITY SCORING,1
LLM-AD-Eval,LLM AD EVAL,1
LLM-AVG,LLM,1
LLM-BF,LLM BF,1
LLM-BM,LLM BM,1
LLM-BS,LLM BS,1
LLM-Based Ambiguity Rating,LLM BASED AMBIGUITY RATING,1
LLM-Human Agreement,LLM HUMAN AGREEMENT,1
LLM-Judge,LLM JUDGE,1
LLM-Match,LLM MATCH,1
LLM-RUBRIC,LLM RUBRIC,1
LLM-as-Judge Dimensional Scores,LLM AS JUDGE DIMENSIONAL SCORES,1
LLM-as-Judge Overall Score,LLM AS JUDGE OVERALL,1
LLM-as-a-Judge (Gemini),LLM AS A JUDGE GEMINI,1
LLM-as-a-Judge Scores,LLM AS A JUDGE SCORES,1
LLM-as-a-judge correctness,LLM AS A JUDGE CORRECTNESS,1
LLM-as-a-judge informativeness rating,LLM AS A JUDGE INFORMATIVENESS RATING,1
LLM-as-a-judge preference ranking,LLM AS A JUDGE PREFERENCE RANKING,1
LLM-as-a-judge robustness rating,LLM AS A JUDGE ROBUSTNESS RATING,1
LLM-as-a-judge safety violation score,LLM AS A JUDGE SAFETY VIOLATION,1
LLM-as-judge,LLM AS A JUDGE,1
LLM-as-judge accuracy,LLM AS JUDGE ACCURACY,1
LLM-as-judge pairwise evaluation,LLM AS JUDGE PAIRWISE EVALUATION,1
LLM-based,LLM BASED,1
LLM-based Scoring,LLM BASED SCORING,1
LLM-based accuracy (A_LM),LLM BASED ACCURACY A LM,1
LLM-based aspect evaluation,LLM BASED ASPECT EVALUATION,1
LLM-based auto-eval,LLM BASED AUTO EVAL,1
LLM-based composite score,LLM BASED COMPOSITE,1
LLM-based hallucination rate (H_LM),LLM BASED HALLUCINATION RATE H LM,1
LLM-based pairwise evaluation,LLM BASED PAIRWISE EVALUATION,1
LLM-based preference,LLM BASED PREFERENCE,1
LLM-based rubric scoring,LLM BASED RUBRIC SCORING,1
LLM-based scoring,LLM BASED SCORING,1
LLM-based semantic equivalence,LLM BASED SEMANTIC EQUIVALENCE,1
LLM-c,LLM,1
LLM-t,LLM,1
LLM.Citation Precision,LLM CITATION PRECISION,1
LLM.Citation Recall,LLM CITATION RECALL,1
LLMScore,LLMSCORE,1
LLM_eval,LLM EVAL,1
LLMaaJ,LLMAAJ,1
LLaMA-3-70B-Instruct Evaluation Score,LLAMA 3 70B INSTRUCT EVALUATION,1
LLaVA-Bench,LLAVA BENCH,1
LLaVA-Bench Score,LLAVA BENCH,1
LLaVA-RLHF,LLAVA RLHF,1
LM Harness,LM HARNESS,1
LM Perplexity,LM PERPLEXITY,1
LM-Pragmatics,LM PRAGMATICS,1
LM-as-a-judge score,LM AS A JUDGE,1
LM-based similarity,LM BASED SIMILARITY,1
LMD,LMD,1
LMS,LMS,1
LMentry Score,LMENTRY,1
LMentry-Score,LMENTRY,1
LN RS,LN RS,1
LN-Entropy,LN ENTROPY,1
LOCA,LOCA,1
LOGPROBS,LOGPROBS,1
LOSS,LOSS,1
LP,LP,1
LPB,LPB,1
LPS,LPS,1
LQA,LQA,1
LQA Accuracy,LQA ACCURACY,1
LQAC,LQAC,1
LS-Score,LS,1
LSC,LSC,1
LSD,LSD,1
LTA,LTA,1
LUAR,LUAR,1
LUAR distance,LUAR DISTANCE,1
LVD,LVD,1
L_dur,L DUR,1
L_f0,L F0,1
L_n,L,1
LaSE,LASE,1
LaaJ-GPT,LAAJ GPT,1
LaaJ-Magic,LAAJ MAGIC,1
LabSE,LABSE,1
Label Accuracy,LABEL ACCURACY,1
Label F1,LABEL F1,1
Label Preservation Accuracy,LABEL PRESERVATION ACCURACY,1
Label-balanced Accuracy,LABEL BALANCED ACCURACY,1
Label-wise Cosine Similarity,LABEL WISE COSINE SIMILARITY,1
Label_Acc,LABEL ACC,1
Labeled Attachment Score,LABELED ATTACHMENT,1
Labeled Attachment Scores,LABELED ATTACHMENT SCORES,1
Labeled F-score,LABELED F,1
Landmark Coverage Rate (LCR),LANDMARK COVERAGE RATE LCR,1
Landmark-based evaluation,LANDMARK BASED EVALUATION,1
Landmarks,LANDMARKS,1
LangCheck,LANGCHECK,1
Language Accuracy,LANGUAGE ACCURACY,1
Language Confusion Pass Rate (LCPR),LANGUAGE CONFUSION PASS RATE LCPR,1
Language Consistency,LANGUAGE CONSISTENCY,1
Language Consistency (LANG),LANGUAGE CONSISTENCY LANG,1
Language Consistency Rate (LCR),LANGUAGE CONSISTENCY RATE LCR,1
Language Correctness,LANGUAGE CORRECTNESS,1
Language Fidelity,LANGUAGE FIDELITY,1
Language Match (LM),LANGUAGE MATCH LM,1
Language Mismatch Ratio,LANGUAGE MISMATCH RATIO,1
Language Model Score,LANGUAGE MODELING,1
Language Modeling Loss,LANGUAGE MODELING LOSS,1
Language Modeling Score,LANGUAGE MODELING,1
Language Modeling Score (LM),LANGUAGE MODELING,1
Language accuracy,LANGUAGE ACCURACY,1
Language correctness,LANGUAGE CORRECTNESS,1
Language detection,LANGUAGE DETECTION,1
LanguageCheck error count,LANGUAGECHECK ERROR COUNT,1
Last,LAST,1
Last Sentence Accuracy,LAST SENTENCE ACCURACY,1
Last accuracy,LAST ACCURACY,1
Latency Improvement,LATENCY IMPROVEMENT,1
Latent NLL,LATENT NLL,1
Latent PPL,LATENT PPL,1
Laughter Detection,LAUGHTER DETECTION,1
Layout Feature Frequency,LAYOUT FEATURE FREQUENCY,1
Layout Similarity (IoU-based),LAYOUT SIMILARITY IOU BASED,1
Leader Approval Rate,LEADER APPROVAL RATE,1
Leaderboard recall,LEADERBOARD RECALL,1
Leading Bias,LEADING BIAS,1
Leaf Nodes (F1),LEAF NODES F1,1
Leakage,LEAKAGE,1
Leakage Rate,LEAKAGE RATE,1
Leakage Score,LEAKAGE,1
Leaked Location Proportion,LEAKED LOCATION PROPORTION,1
Learning Curve Area,LEARNING CURVE AREA,1
Leaves AllCorrect,LEAVES ALLCORRECT,1
Leaves F1,LEAVES F1,1
Leaves-AllCorrect,LEAVES ALLCORRECT,1
Legal Vocabulary List (LVL) occurrences,LEGAL VOCABULARY LIST LVL OCCURRENCES,1
Len,LEN,1
LenRatio,LENRATIO,1
Length Accuracy,LENGTH ACCURACY,1
Length Adherence Rate,LENGTH ADHERENCE RATE,1
Length Compression,LENGTH COMPRESSION,1
Length Difference,LENGTH DIFFERENCE,1
Length Error Rate (E),LENGTH ERROR RATE,1
Length Regulation Rate,LENGTH REGULATION RATE,1
Length Satisfaction,LENGTH SATISFACTION,1
Length Score (S_l),LENGTH S,1
Length Scores (LS),LENGTH SCORES LS,1
Length Variance,LENGTH VARIANCE,1
Length comparison,LENGTH COMPARISON,1
Length-Debiased Win Rate,LENGTH DEBIASED WIN RATE,1
Length-controlled win rate (LC),LENGTH CONTROLLED WIN RATE,1
Length-weighted win rate (LWR),LENGTH WIN RATE LWR,1
Length@Score,LENGTH,1
Letter accuracy,LETTER ACCURACY,1
Levenshtein Distance Ratio,LEVENSHTEIN DISTANCE RATIO,1
Levenshtein Edit Distance,LEVENSHTEIN EDIT DISTANCE,1
Levenshtein Edit Similarity,LEVENSHTEIN EDIT SIMILARITY,1
Levenshtein Ratio,LEVENSHTEIN RATIO,1
Levenshtein edit similarity,LEVENSHTEIN EDIT SIMILARITY,1
Lexical Cohesion Accuracy,LEXICAL COHESION ACCURACY,1
Lexical Coverage,LEXICAL COVERAGE,1
Lexical Density,LEXICAL DENSITY,1
Lexical Deviation,LEXICAL DEVIATION,1
Lexical Deviation (LD),LEXICAL DEVIATION,1
Lexical Difference (LeD),LEXICAL DIFFERENCE LED,1
Lexical Diversity Density (LDD),LEXICAL DIVERSITY DENSITY LDD,1
Lexical Diversity Index,LEXICAL DIVERSITY INDEX,1
Lexical Hallucinations,LEXICAL HALLUCINATIONS,1
Lexical Naturalness (JSD),LEXICAL NATURALNESS JSD,1
Lexical Overlap,LEXICAL OVERLAP,1
Lexical Scoring,LEXICAL SCORING,1
Lexical Similarity,LEXICAL SIMILARITY,1
Lexical morpheme accuracy,LEXICAL MORPHEME ACCURACY,1
Lexical n-gram distance,LEXICAL N GRAM DISTANCE,1
Lexical overlap,LEXICAL OVERLAP,1
Lexicality,LEXICALITY,1
Lexicon Coverage,LEXICON COVERAGE,1
Lexile,LEXILE,1
LifeTox,LIFETOX,1
Lift in Predicted Probability,LIFT IN PREDICTED PROBABILITY,1
Likelihood Bias,LIKELIHOOD BIAS,1
Likelihood Ratio,LIKELIHOOD RATIO,1
Likert Scale,LIKERT SCALE,1
Likert Score,LIKERT,1
Likert-type scores,LIKERT TYPE SCORES,1
Line-level Language Accuracy,LINE LEVEL LANGUAGE ACCURACY,1
Line-level Pass Rate (LPR),LINE LEVEL PASS RATE LPR,1
Linear Predictivity,LINEAR PREDICTIVITY,1
Linear Regression,LINEAR REGRESSION,1
"Linear coefficients (a_s, a_f)",LINEAR COEFFICIENTS A S A,1
Linear regression,LINEAR REGRESSION,1
Linear regression slope,LINEAR REGRESSION SLOPE,1
Linearity (ℓ),LINEARITY,1
Lingo-Judge,LINGO JUDGE,1
Linguistic Acceptability,LINGUISTIC ACCEPTABILITY,1
Linguistic Diversity Indices,LINGUISTIC DIVERSITY INDICES,1
Linguistic Quality,LINGUISTIC QUALITY,1
Linguistic Similarity (Euclidean distance),LINGUISTIC SIMILARITY EUCLIDEAN DISTANCE,1
Linguistic Uncertainty,LINGUISTIC UNCERTAINTY,1
Linguistic Utility,LINGUISTIC UTILITY,1
Linguistic features,LINGUISTIC FEATURES,1
Linsear Write,LINSEAR WRITE,1
Linsear Write (LW),LINSEAR WRITE LW,1
Listener Accuracy,LISTENER ACCURACY,1
LitTER,LITTER,1
Llama-Guard,LLAMA GUARD,1
LlamaGuard,LLAMA GUARD,1
LlamaScore,LLAMASCORE,1
Local Difference,LOCAL DIFFERENCE,1
Local Mutual Information,LOCAL MUTUAL INFORMATION,1
Local coherence,LOCAL COHERENCE,1
Locate Accuracy,LOCATE ACCURACY,1
Location Matching,LOCATION MATCHING,1
Log Loss,LOG LOSS,1
Log Probability Confidence,LOG PROBABILITY CONFIDENCE,1
Log Probability of Ground Truth,LOG PROBABILITY OF GROUND TRUTH,1
Log Token Ranks,LOG TOKEN RANKS,1
Log likelihood,LOG LIKELIHOOD,1
Log probability,LOG PROBABILITY,1
Log probability comparison,LOG PROBABILITY COMPARISON,1
Log probability under image-conditional language model,LOG PROBABILITY UNDER IMAGE CONDITIONAL LANGUAGE MODEL,1
Log probability under unconditional language model,LOG PROBABILITY UNDER IMAGE CONDITIONAL LANGUAGE MODEL,1
Log-Perplexity,LOG PERPLEXITY,1
Log-Probability Difference,LOG PROBABILITY DIFFERENCE,1
Log-Rank,LOG RANK,1
Log-Sec MSE,LOG SEC MSE,1
Log-likelihood Ratio for style appropriateness,LOG LIKELIHOOD RATIO FOR STYLE APPROPRIATENESS,1
Log-likelihood difference (LLD),LOG LIKELIHOOD DIFFERENCE LLD,1
Log-likelihood scoring,LOG LIKELIHOOD SCORING,1
Log-odds ratio,LOG ODDS RATIO,1
Log-probability,LOG PROBABILITY,1
LogDet,LOGDET,1
LogVar,LOGVAR,1
Logarithmic loss,LOGARITHMIC LOSS,1
LogiQA,LOGIQA,1
LogiQA 2.0,LOGIQA,1
Logic Equivalence,LOGIC EQUIVALENCE,1
Logical Consistency,LOGICAL CONSISTENCY,1
Logical Equivalence,LOGIC EQUIVALENCE,1
Logical Flow,LOGICAL FLOW,1
Logical Generalization (LG),LOGICAL GENERALIZATION LG,1
Logical Inconsistency (LI),LOGICAL INCONSISTENCY LI,1
Logical Pass Rate,LOGICAL PASS RATE,1
Logical Validity,LOGICAL VALIDITY,1
Logistic Loss,LOGISTIC LOSS,1
Logistic regression,LOGISTIC REGRESSION,1
Logistic regression performance,LOGISTIC REGRESSION PERFORMANCE,1
Logit Flip,LOGIT FLIP,1
Logit-Based Ensemble,LOGIT BASED ENSEMBLE,1
Logits,LOGITS,1
Logloss,LOG LOSS,1
Long context success,LONG CONTEXT SUCCESS,1
Long-dependent token frequency,LONG DEPENDENT TOKEN FREQUENCY,1
Long-range repetition,LONG RANGE REPETITION,1
Long-short likelihood difference,LONG SHORT LIKELIHOOD DIFFERENCE,1
Long-term success rate,LONG TERM SUCCESS RATE,1
LongBench average scores,LONGBENCH SCORES,1
LongCLIP,LONGCLIP,1
LongCLIP-B,LONGCLIP,1
LongCLIP-L,LONGCLIP,1
LongDocFACTScore,LONGDOCFACTSCORE,1
Longer Length Ratio,LONGER LENGTH RATIO,1
Longest Common Subsequence (LCS),LONGEST COMMON SUBSEQUENCE,1
Longest Common Subsequence Rate,LONGEST COMMON SUBSEQUENCE,1
Longest Common Substring,LONGEST COMMON SUBSTRING,1
Longest Increasing Subsequence,LONGEST INCREASING SUBSEQUENCE,1
Longformer,LONGFORMER,1
Longformer classifier,LONGFORMER CLASSIFIER,1
Longformer-based,LONGFORMER BASED,1
Lookback Ratio,LOOKBACK RATIO,1
Loose Accuracy,LOOSE ACCURACY,1
Loose instruction adherence with text normalization,LOOSE INSTRUCTION ADHERENCE WITH TEXT NORMALIZATION,1
Lose Rate,LOSE RATE,1
Loss Function,LOSS FUNCTION,1
Loss Rate,LOSS RATE,1
Loss comparison,LOSS COMPARISON,1
Loss proportion of subordinate knowledge (LP),LOSS PROPORTION OF SUBORDINATE KNOWLEDGE LP,1
Low-Frequency Token Ratio,LOW FREQUENCY TOKEN RATIO,1
Low-Level Score,LOW LEVEL,1
M-BLEU,M BLEU,1
M-ETA,M ETA,1
M-Index,M INDEX,1
M-MMLU,M MMLU,1
M-Prometheus,M PROMETHEUS,1
M-SPICE,M SPICE,1
M-index,M INDEX,1
M-info,M INFO,1
M10@50,M10,1
M5@50,M5,1
M:F,M,1
MA-D1,MA D1,1
MA-D2,MA D2,1
MAAS,MAAS,1
MACC,MACC,1
MACCS Fingerprint Similarity,MACCS FINGERPRINT SIMILARITY,1
MACCS fingerprint,MACCS FINGERPRINT,1
MACROF1,MACROF1,1
MAD Speech,MAD SPEECH,1
MAP@100,MAP,1
MAP@1000,MAP,1
MAP@20,MAP,1
MAP@50,MAP,1
MAP@N,MAP@N,1
MAP@k,MAP,1
MAPD (Mean Absolute Percentage Deviation),MAPD ABSOLUTE PERCENTAGE DEVIATION,1
MARS,MARS,1
MATCH,MATCH,1
MATH-500 Accuracy,MATH 500 ACCURACY,1
MAX ANSWERS@k,MAX ANSWER,1
MAX INCORRECT@k,MAX INCORRECT,1
MAcc,MACC,1
MBA,MBA,1
MBART-QE,MBART QE,1
MBR-EXEC,MBR EXEC,1
MBR-MetricX-QE,MBR METRICX QE,1
MBTI Accuracy,MBTI ACCURACY,1
MCE,MCE,1
MCQA Accuracy,MCQA ACCURACY,1
MD,MD,1
MD-Judge,MD JUDGE,1
MDL,MDL,1
MDSummaC,MDSUMMAC,1
ME Score (S_ME),ME S ME,1
MECE,MECE,1
MEE,MEE,1
MEE4,MEE4,1
MENLI,MENLI,1
METEOR_Ctx,METEOR CTX,1
METRIC-XL,XL,1
MF-score,MF,1
MFCC,MFCC,1
MFG,MFG,1
MFMA,MFMA,1
MFS+,MFS+,1
MHIC,MHIC,1
MHR@k,MHR,1
MHSC,MHSC,1
MHumanEval,MHUMANEVAL,1
MI-D1,MI D1,1
MI-D2,MI D2,1
MIA,MIA,1
MIA Recall,MIA RECALL,1
MICROF1,MICROF1,1
MIScore,MISCORE,1
MITI Behavior Scores,MITI BEHAVIOR SCORES,1
MITI Global Scores,MITI GLOBAL SCORES,1
ML Normalized Score,ML NORMALIZED,1
MLM Error Rate,MLM ERROR RATE,1
MLM-PPL,MLM PPL,1
MLP Regressor,MLP REGRESSOR,1
MLVU,MLVU,1
MM Dist,MM DIST,1
MMB,MMB,1
MMBENCH,MMBENCH,1
MMD,MMD,1
MME Accuracy,MME ACCURACY,1
MME Accuracy+,MME ACCURACY,1
MME Benchmark Scores,MME BENCHMARK SCORES,1
MME Cognition,MME COGNITION,1
MME Perception,MME PERCEPTION,1
MME-Hall,MME HALL,1
MMHalBench Score,MMHAL BENCH,1
MMLU 5-shot accuracy,MMLU 5 SHOT ACCURACY,1
MMLU accuracy,MMLU ACCURACY,1
MMLU-Pro,MMLU PRO,1
MMRelevance,MM RELEVANCE,1
MMseqs2,MMSEQS2,1
MNFD,MNFD,1
MNLI+Adv,MNLI+ADV,1
MNLI-doc,MNLI DOC,1
MNScore,MNSCORE,1
MONITOR,MONITOR,1
MOSnet,MOSNET,1
MOVERSCORE,MOVERSCORE,1
MOVERScore,MOVERSCORE,1
MPJPE,MPJPE,1
MPNet Semantic Score,MPNET SEMANTIC,1
MPVE,MPVE,1
MPsoft,MPSOFT,1
MQM,MQM,1
"MR Scores (S_MR1, S_MR2, ΔS_MR)",MR SCORES S MR1 S MR2 S MR,1
MRECALL@k,MRECALL,1
MRPC,MRPC,1
MRR-100,MRR,1
MRR@3,MRR,1
MRR@K,MRR,1
MRScore,MRSCORE,1
MS,MS,1
MS-COMET-22,MS COMET,1
MSACC,MSACC,1
MSJ,MSJ,1
MSR,MSR,1
MT Score,MT,1
MT-Bench Scores,MT BENCH SCORES,1
MT-Bench++,MT BENCH++,1
MT-Eval,MT EVAL,1
MT-RAIG EVAL,MT RAIG EVAL,1
MTBench,MT BENCH,1
MTBench Score,MT BENCH,1
MTEB Average Score,MTEB,1
MTR,MTR,1
MTS,MTS,1
MTransQuest,MTRANSQUEST,1
MTree Accuracy,MTREE ACCURACY,1
MTree IoU,MTREE IOU,1
MUSIQ,MUSIQ,1
MUSR,MUSR,1
MVBench,MVBENCH,1
MW,MW,1
MWEScore,MWESCORE,1
MWU,MWU,1
MaHR,MAHR,1
MaTESe-QE,MATESE QE,1
Maas,MAAS,1
Macro F1-Score,F1,1
Macro IoU,IOU,1
Macro ROC AUC,ROC AUC,1
Macro-Relation-Precision,RELATION PRECISION,1
Macro-Relation-Recall,RELATION RECALL,1
Macro-Track-Precision,TRACK PRECISION,1
Macro-Track-Recall,TRACK RECALL,1
MacroAvg,MACROAVG,1
MainIdea,MAINIDEA,1
Maj@8,MAJ,1
Maj@K,MAJ,1
Maj@N,MAJ@N,1
Maj@k,MAJ,1
Majority Vote,MAJORITY VOTE,1
Majority Vote Accuracy,MAJORITY VOTE ACCURACY,1
Majority voting accuracy (Maj@5),MAJORITY VOTING ACCURACY MAJ,1
Manhattan Distance,MANHATTAN DISTANCE,1
Mann-Whitney U Test,MANN WHITNEY U TEST,1
Mann-Whitney U test,MANN WHITNEY U TEST,1
Mann-Whitney U-test,MANN WHITNEY U TEST,1
Manual cells per paradigm,MANUAL CELLS PER PARADIGM,1
Mapping-based Edge Connectivity (MEC),MAPPING BASED EDGE CONNECTIVITY MEC,1
Mapping-based Edge Distance (MED),MAPPING BASED EDGE DISTANCE MED,1
Marginal Sampling Gain,MARGINAL SAMPLING GAIN,1
Masculine rank,MASCULINE RANK,1
Masked Perplexity,MASKED PERPLEXITY,1
Match #SS,MATCH SS,1
Match Error Rate,MATCH ERROR RATE,1
Match Ratio,MATCH RATIO,1
Match Score,MATCH,1
Matching Accuracy,MATCHING ACCURACY,1
MathQA,MATHQA,1
MathVerify,MATH VERIFY,1
MathVerse,MATHVERSE,1
Matrix,MATRIX,1
Matthew Correlation,MATTHEW CORRELATION,1
Matthew correlation,MATTHEW CORRELATION,1
Matthews Correlation,MATTHEW CORRELATION,1
Matthews Correlation Coefficient (MCC),MATTHEWS CORRELATION COEFFICIENT,1
Matthews correlation,MATTHEW CORRELATION,1
Max ACS,MAX ACS,1
Max AE,MAX AE,1
Max Incorrect@k,MAX INCORRECT,1
Max LCS,MAX LCS,1
Max answer@k,MAX ANSWER,1
Max-Match,MAXMATCH,1
Max-gap,MAX GAP,1
Max-ratio,MAX RATIO,1
Max. F1,MAX F1,1
Max.Tox,MAX TOX,1
MaxFlirtation,MAXFLIRTATION,1
MaxIdentityAttack,MAXIDENTITYATTACK,1
MaxInsult,MAXINSULT,1
MaxSkew@K,MAXSKEW,1
MaxToxicity,MAX TOXICITY,1
MaxTry,MAXTRY,1
Maximum Deviation,MAXIMUM DEVIATION,1
Maximum Drawdown,MAXIMUM DRAWDOWN,1
Maximum Entropy,MAXIMUM ENTROPY,1
Maximum Exploration Score,MAXIMUM EXPLORATION,1
Maximum Likelihood Estimation (MLE),MAXIMUM LIKELIHOOD ESTIMATION MLE,1
Maximum Mean Discrepancy,MAXIMUM DISCREPANCY,1
Maximum Mean Discrepancy (MMD),MAXIMUM DISCREPANCY,1
Maximum Negative Log Probability,MAXIMUM NEGATIVE LOG PROBABILITY,1
Maximum Toxicity,MAXIMUM TOXICITY,1
McFadden's pseudo-R2,MCFADDEN S PSEUDO R2,1
McNemar Test,MCNEMAR S TEST,1
McNemar test,MCNEMAR S TEST,1
Mean Absolute Deviation (MAD),ABSOLUTE DEVIATION MAD,1
Mean Absolute Error of Energy,ABSOLUTE ERROR OF ENERGY,1
Mean Absolute Error of Pitch,ABSOLUTE ERROR OF PITCH,1
Mean Absolute Percentage Error (MAPE),ABSOLUTE PERCENTAGE ERROR,1
Mean Accepted Token (MAT),ACCEPTED TOKEN MAT,1
Mean Association Distance,ASSOCIATION DISTANCE,1
Mean Average Accuracy,ACCURACY,1
Mean Average Precision (mAP),PRECISION AP,1
Mean Bias Score,BIAS,1
Mean Character Length,CHARACTER LENGTH,1
Mean Difference,DIFFERENCE,1
Mean Emergence Depth,EMERGENCE DEPTH,1
Mean Euclidean Distance,EUCLIDEAN DISTANCE,1
Mean Expected Rank Variance (MERV),EXPECTED RANK VARIANCE MERV,1
Mean Exposure,EXPOSURE,1
Mean Generated Length,GENERATED LENGTH,1
Mean IDF,IDF,1
Mean IoU,IOU,1
Mean Matches per Review,MATCHES PER REVIEW,1
Mean Normalized Allocation,NORMALIZED ALLOCATION,1
Mean Number of Accepted Tokens,NUMBER OF ACCEPTED TOKENS,1
Mean Opinion Score,OPINION,1
Mean Pairwise Cosine Dissimilarity,PAIRWISE COSINE DISSIMILARITY,1
Mean Peak KV Cache,PEAK KV CACHE,1
Mean Precision,PRECISION,1
Mean Precision@1,PRECISION,1
Mean Rank Order,RANK ORDER,1
Mean Region Surprisal,REGION SURPRISAL,1
Mean Sentiments,SENTIMENT,1
Mean Square Error Loss,SQUARE ERROR LOSS,1
Mean Squared Error (MSE) of LCA category distribution,SQUARED ERROR MSE OF LCA CATEGORY DISTRIBUTION,1
Mean Token Time,TOKEN TIME,1
Mean Word Count,WORD COUNT,1
Mean accepted tokens,ACCEPTED TOKENS,1
Mean aggregation,AGGREGATION,1
Mean number of questions,NUMBER OF QUESTIONS,1
Mean per-word entropy,PER WORD ENTROPY,1
Mean rank,RANK,1
Mean step-deviation from optimal path,STEP DEVIATION FROM OPTIMAL PATH,1
Mean-Squared Error,SQUARED ERROR,1
MeanNCPTK,MEANNCPTK,1
MeaningBERT,MEANINGBERT,1
Measure of Textual Lexical Diversity,MEASURE OF TEXTUAL LEXICAL DIVERSITY,1
Measure of Textual Lexical Diversity (MTLD),MEASURE OF TEXTUAL LEXICAL DIVERSITY,1
Media Bias Classifier,MEDIA BIAS CLASSIFIER,1
Median BiasScore,MEDIAN BIASSCORE,1
Median Max Cosine Similarity,MEDIAN MAX COSINE SIMILARITY,1
Median aggregation,MEDIAN AGGREGATION,1
Median p-value,MEDIAN P VALUE,1
MedianNCPTK,MEANNCPTK,1
Mel Cepstral Distortion (MCD),MEL CEPSTRAL DISTORTION,1
Mel-Cepstral Distortion,MEL CEPSTRAL DISTORTION,1
Melody Distance,MELODY DISTANCE,1
Membership Match,MEMBERSHIP MATCH,1
Mementos,MEMENTOS,1
Memorization Score,MEMORIZATION,1
Memory Requirements,MEMORY REQUIREMENTS,1
Memory Retrieval Accuracy,MEMORY RETRIEVAL ACCURACY,1
Mention Usage,MENTION USAGE,1
Merlin evasion,MERLIN EVASION,1
Message Length,MESSAGE LENGTH,1
Message Reduction % (MR%),MESSAGE REDUCTION MR,1
Meta-F1,META F1,1
Meta-Precision,META PRECISION,1
Meta-Recall,META RECALL,1
MetaHate BERT classification,METAHATE BERT CLASSIFICATION,1
Metaphoricity (Meta),METAPHORICITY META,1
Meteor++,METEOR++,1
Meter Checking,METER CHECKING,1
Meter Score,METEOR,1
Metric Similarity,SIMILARITY,1
MetricX-23-QE-XL,METRICX 23 QE XL,1
MetricX-24,METRICX,1
MetricX-24-XL,METRICX 23 XL,1
MetricX-XXL,METRICX XXL,1
Metrics-based GPT-4 evaluation,METRICS BASED GPT 4 EVALUATION,1
MiCEval,MICEVAL,1
MiHR,MIHR,1
Micro Accuracy,ACCURACY,1
Micro IoU,IOU,1
Micro Pass Rate,PASS RATE,1
Micro-Relation-Precision,RELATION PRECISION,1
Micro-Relation-Recall,RELATION RECALL,1
Micro-Track-Precision,TRACK PRECISION,1
Micro-Track-Recall,TRACK RECALL,1
MicroAvg,MICROAVG,1
MileBench,MILEBENCH,1
Min-K%,MIN,1
Min-K% Probability,MIN K PROBABILITY,1
Min-MAE,MIN MAE,1
Minerva Math,MINERVA MATH,1
Minimality,MINIMALITY,1
Minimum Deviation,MINIMUM DEVIATION,1
Minimum Relevance,MINIMUM RELEVANCE,1
MinosEval,MINOSEVAL,1
Mis,MIS,1
Misalignment,MISALIGNMENT,1
Misalignment Score,MISALIGNMENT,1
Misallocation Penalty,MISALLOCATION PENALTY,1
Misinformation Rate,MISINFORMATION RATE,1
Misinformation Susceptibility Rate (MSR),MISINFORMATION SUSCEPTIBILITY RATE MSR,1
Misleading Pun Accuracy,MISLEADING PUN ACCURACY,1
Misleading Rate,MISLEADING RATE,1
Misleading Ratio,MISLEADING RATE,1
Mismatch Rate,MISMATCH RATE,1
Mismatch Sensitivity (MS),MISMATCH SENSITIVITY MS,1
Miss-prediction,MISS PREDICTION,1
Missing Concepts,MISSING CONCEPTS,1
Missing Details Recover Rate,MISSING DETAILS RECOVER RATE,1
Missing rate (M),MISSING RATE,1
Mistaken Role Identity (mistID),MISTAKEN ROLE IDENTITY MISTID,1
Mitigation Rate,MITIGATION RATE,1
Modal Robustness Score,MODAL ROBUSTNESS,1
Mode Selection Accuracy,MODE SELECTION ACCURACY,1
